2,"[AliQ] S00E00 - Pilot.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S00E00 - Pilot.mp4"
3,"[AliQ] S01E01 - Gem Glow.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E01 - Gem Glow.mp4"
4,"[AliQ] S01E02 - Laser Light Cannon.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E02 - Laser Light Cannon.mp4"
5,"[AliQ] S01E03 - Cheeseburger Backpack.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E03 - Cheeseburger Backpack.mp4"
6,"[AliQ] S01E04 - Together Breakfast.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E04 - Together Breakfast.mp4"
7,"[AliQ] S01E05 - Frybo.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E05 - Frybo.mp4"
8,"[AliQ] S01E06 - Cat Fingers.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E06 - Cat Fingers.mp4"
9,"[AliQ] S01E07 - Bubble Buddies.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E07 - Bubble Buddies.mp4"
10,"[AliQ] S01E08 - Serious Steven.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E08 - Serious Steven.mp4"
11,"[AliQ] S01E09 - Tiger Millionaire.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E09 - Tiger Millionaire.mp4"
12,"[AliQ] S01E10 - Steven's Lion.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E10 - Steven's Lion.mp4"
13,"[AliQ] S01E11 - Arcade Mania.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E11 - Arcade Mania.mp4"
14,"[AliQ] S01E12 - Giant Woman.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E12 - Giant Woman.mp4"
15,"[AliQ] S01E13 - So Many Birthdays.mp4","videos/[AliQ] Steven Universe Season 1 [1080p WEB_DL x264]/[AliQ] S01E13 - So Many Birthdays.mp4"
